City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
569,Fomboni,KM,77.95,overcast clouds,-12.28,43.7425,Auberge les abou
573,Chabahar,IR,78.6,clear sky,25.2919,60.643,هتل گدروشیا
575,Balabac,PH,80.6,broken clouds,7.9868,117.0645,Sing and Swing Lodge
579,Ambilobe,MG,71.29,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
581,Quibdo,CO,81.36,light rain,5.6947,-76.6611,Hotel Angeles
582,Dwarka,IN,79.84,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
584,Mahina,PF,83.97,light rain,-17.5065,-149.489,Guest Beach Bungalow Tahiti
585,Luwuk,ID,77.32,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
586,Dunmore Town,BS,80.96,scattered clouds,25.5,-76.65,Coral Sands Hotel
587,Jalu,LY,73.8,few clouds,29.0331,21.5482,صاحبة الفخامة
589,Sai Buri,TH,76.37,moderate rain,6.7013,101.6168,ร้าน​ เวดดิ้ง
590,Portobelo,PA,86.41,overcast clouds,9.55,-79.65,Scuba Portobelo
591,Comodoro Rivadavia,AR,82.26,scattered clouds,-45.8667,-67.5,Austral Hotel
592,Mount Isa,AU,76.77,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
594,Villa De Cura,VE,79.97,overcast clouds,10.0386,-67.4894,Ceymir Spa
599,Garissa,KE,78.31,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
602,Ridge,US,78.85,clear sky,40.894,-72.8959,Pine Ridge In
603,Boulsa,BF,87.51,overcast clouds,12.6675,-0.5758,Centre d'accueil de Nasongdo
604,Champerico,GT,86.54,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
608,Alexandria,EG,72.3,clear sky,31.2156,29.9553,Royal Crown Hotel
610,Eatonton,US,80.24,broken clouds,33.3268,-83.3885,Western Motel of Eatonton
612,Japura,ID,70.97,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
613,Kattivakkam,IN,80.69,few clouds,13.2167,80.3167,Euronova Freezer
616,Woodward,US,71.96,clear sky,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
618,Santa Isabel Do Rio Negro,BR,85.12,overcast clouds,-0.4139,-65.0192,Hotel GSA
619,Angoche,MZ,75.85,overcast clouds,-16.2325,39.9086,Guest House HESADA
621,Yarmouth,US,74.17,clear sky,41.7057,-70.2286,Blue Rock Resort
622,Nanticoke,US,74.53,clear sky,41.2054,-76.0049,Keisha's
625,Bangolo,CI,72.01,moderate rain,7.0069,-7.475,Résidence hôtel yekoula
626,Eyl,SO,78.03,few clouds,7.9803,49.8164,Amiin Hotel
628,Palpa,PE,86.36,overcast clouds,-14.5336,-75.1856,Palpa Lines
629,Vero Beach,US,84.24,clear sky,27.6386,-80.3973,Kimpton Vero Beach Hotel & Spa
631,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
633,Sampit,ID,73.42,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
634,Sarangani,PH,81.77,overcast clouds,5.4033,125.4636,Ballistic Islet
