City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
228,Oktyabrskoye,RU,43.0645,44.7417,33.94,80,92,8.95,overcast clouds
229,Sumbe,AO,-11.2061,13.8437,76.01,84,100,6.8,overcast clouds
230,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,86.81,20,0,7.2,clear sky
231,Luderitz,NA,-26.6481,15.1594,58.78,78,47,9.8,scattered clouds
232,Awbari,LY,26.5921,12.7805,76.24,35,100,20.65,overcast clouds
233,Sidi Ali,DZ,36.0998,0.4206,71.22,40,8,5.08,clear sky
234,Manggar,ID,-2.8833,108.2667,78.76,82,100,3.33,overcast clouds
235,Dengzhou,CN,37.8086,120.7508,51.46,54,100,6.46,light rain
236,Mandera,KE,3.9366,41.867,82.06,61,99,17.83,overcast clouds
237,Geraldton,AU,-28.7667,114.6,63.01,88,90,9.22,overcast clouds
238,Harrismith,ZA,-28.2728,29.1295,55.94,41,17,4.94,few clouds
239,Labrea,BR,-7.2586,-64.7981,91.54,50,97,1.03,overcast clouds
240,Sungaipenuh,ID,-2.0833,101.3833,64.99,98,100,0.83,light rain
241,Novyy Urengoy,RU,66.0833,76.6333,30.61,91,83,7.81,broken clouds
242,Sao Filipe,CV,14.8961,-24.4956,82.2,62,0,8.05,clear sky
243,Apex,US,35.7327,-78.8503,80.78,43,20,3.0,smoke
244,Mayo,US,38.8876,-76.5119,78.75,43,1,3.0,clear sky
245,Karratha,AU,-20.7377,116.8463,71.29,37,1,10.33,clear sky
246,Huarmey,PE,-10.0681,-78.1522,70.07,74,51,11.23,broken clouds
247,Kutum,SD,14.2,24.6667,79.21,21,80,12.39,broken clouds
248,Vernon,CA,50.2581,-119.2691,57.29,47,100,10.31,overcast clouds
249,Trairi,BR,-3.2778,-39.2689,82.56,69,89,9.37,overcast clouds
250,Aklavik,CA,68.2191,-135.0107,25.52,81,100,9.01,overcast clouds
251,Thalgau,AT,47.8333,13.25,59.76,92,0,6.91,clear sky
252,Broome,US,42.2506,-75.833,72.18,55,1,1.99,clear sky
253,Daru,PG,-9.0763,143.2092,77.47,83,99,5.44,overcast clouds
254,Thinadhoo,MV,0.5333,72.9333,82.0,75,52,12.44,broken clouds
255,Sovetsk,RU,55.0839,21.8785,60.91,62,100,20.65,overcast clouds
256,Rio Grande,BR,-32.035,-52.0986,68.11,62,23,13.35,few clouds
257,Nambucca Heads,AU,-30.65,153.0,60.17,88,84,2.55,broken clouds
258,Buraydah,SA,26.326,43.975,79.25,26,0,10.38,clear sky
259,Shakiso,ET,5.75,38.9167,56.75,91,37,2.01,scattered clouds
260,Camandag,PH,10.3333,123.0667,75.06,89,100,2.68,overcast clouds
261,Meulaboh,ID,4.1363,96.1285,75.38,90,100,5.55,overcast clouds
262,Marawi,PH,7.9986,124.2928,64.65,92,100,1.74,overcast clouds
263,Timra,SE,62.487,17.3257,43.68,100,20,4.61,fog
264,Hobyo,SO,5.3505,48.5268,78.26,83,83,17.65,broken clouds
265,Peleduy,RU,59.6289,112.7406,35.38,98,100,8.52,light rain
266,Barkhan,PK,29.8977,69.5256,67.41,13,0,2.71,clear sky
267,Lukulu,ZM,-14.3707,23.242,73.2,61,87,4.52,overcast clouds
268,Acapulco,MX,16.8634,-99.8901,87.62,70,40,3.44,scattered clouds
269,Cajnice,BA,43.5575,19.0711,52.61,87,11,4.23,few clouds
270,Cockburn Town,TC,21.4612,-71.1419,82.44,78,100,14.47,overcast clouds
271,Sauce,UY,-34.6469,-56.0628,69.73,64,91,8.3,overcast clouds
272,Seymchan,RU,62.8833,152.4333,-1.43,68,5,2.62,clear sky
273,Riyadh,SA,24.6877,46.7219,80.74,18,0,10.36,clear sky
274,Husavik,IS,66.0449,-17.3389,24.71,80,63,12.24,broken clouds
275,Honiara,SB,-9.4333,159.95,79.52,86,64,1.54,broken clouds
276,Belmonte,BR,-15.8631,-38.8828,81.1,79,55,8.84,broken clouds
277,Raudeberg,NO,61.9875,5.1352,42.87,97,100,3.0,overcast clouds
278,Inndyr,NO,67.0338,14.0276,33.84,85,100,11.61,light snow
279,Rocha,UY,-34.4833,-54.3333,63.21,68,87,11.65,overcast clouds
280,Kuragino,RU,53.8975,92.6725,35.65,71,41,3.47,scattered clouds
281,Thompson,CA,55.7435,-97.8558,41.16,38,40,13.8,scattered clouds
282,Nieuw Nickerie,SR,5.95,-56.9833,83.1,70,45,10.16,scattered clouds
283,Ecoporanga,BR,-18.3733,-40.8306,68.07,93,99,8.93,light rain
284,Port Hedland,AU,-20.3167,118.5667,62.65,100,1,6.91,clear sky
285,Kusti,SD,13.1629,32.6635,90.46,33,88,10.07,overcast clouds
286,Cayenne,GF,4.9333,-52.3333,86.04,76,20,4.0,few clouds
287,Sakakah,SA,29.9697,40.2064,71.17,34,3,6.89,clear sky
288,Khash,IR,28.2211,61.2158,67.51,34,0,5.06,clear sky
289,Johnstown,US,40.3267,-78.922,72.7,52,1,10.36,clear sky
290,Holland,US,42.7875,-86.1089,72.3,57,20,5.75,few clouds
291,Maputo,MZ,-25.9653,32.5892,67.23,76,0,1.99,clear sky
292,San Jose,US,37.3394,-121.895,69.94,63,90,1.01,overcast clouds
293,Fairbanks,US,64.8378,-147.7164,34.92,72,40,0.0,scattered clouds
294,Kothapet,IN,19.3333,79.4833,73.11,74,91,5.5,overcast clouds
295,Fortuna,US,40.5982,-124.1573,62.98,69,75,5.99,broken clouds
296,Vallenar,CL,-28.5708,-70.7581,78.82,19,0,10.8,clear sky
297,Mitsamiouli,KM,-11.3847,43.2844,77.09,77,99,2.21,overcast clouds
298,Shirokiy,RU,49.758,129.523,20.55,93,11,2.06,few clouds
299,Lixourion,GR,38.2019,20.4314,60.8,82,20,0.0,few clouds
300,Batsfjord,NO,70.6345,29.7185,33.8,74,0,1.14,clear sky
301,Javier,PH,8.4889,126.085,72.57,99,100,2.19,overcast clouds
302,Shimoda,JP,34.6667,138.95,54.1,66,100,11.83,overcast clouds
303,Dawson Creek,CA,55.7666,-120.2362,34.95,93,90,2.3,overcast clouds
304,Klaksvik,FO,62.2266,-6.589,43.72,67,69,37.56,broken clouds
305,Bertoua,CM,4.5833,13.6833,67.39,99,100,1.36,overcast clouds
